country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Nuclear consumption - TWh,Solar consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Biofuels consumption - TWh,Low carbon - TWh,Other renewables (including geothermal and biomass) - TWh,Other - TWh,climate_region,Pct renewables,Pct fossil fuels,Pct Coal consumption,Pct Gas consumption,Pct Oil consumption,Pct Nuclear consumption,Pct Solar consumption,Pct Hydro consumption,Pct Wind consumption,Pct Biofuels consumption,Pct Low carbon,Pct Other renewables,Pct Other
Burundi,2023,19.70610893097158,71.05163963827017,0.20327924987199184,5.840191945617853,60.58389964187642,1.6185348450746317,1.2580385857053547,5.270061660645188,0.41999999999999993,4581.569002811547,4581.569002811547,0.0,0.0,0.0,0.0,0.0,199.19865227883255,4382.370350134317,0.0,1.991986522788325e-07,4780.76765469198,1.991986522788325e-07,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,4.34782608657845,95.6521739047259,0.0,4.347826086578448e-09,104.34782607788276,0.0,4.347826086578448e-09
Cameroon,2022,22.97718029953917,73.17047043010753,0.2439506784434204,5.808940796210957,66.11526054843605,1.6537092223135894,1.3492070045868882,4.07009466214724,0.525,126348.85944679688,85712.33438191508,40636.52506488182,0.0,40636.52506488182,0.0,0.0,341.4834039065701,85370.85097664257,0.0,6.8296680781314e-07,86395.30118836224,6.8296680781314e-07,0.0,Desert,67.83783783818556,32.16216216181444,0.0,32.16216216181444,0.0,0.0,0.2702702702673484,67.56756756683714,0.0,5.405405405346967e-10,68.37837837763915,0.0,5.405405405346967e-10
Cameroon,2023,24.993984780740252,66.8383103947224,0.3223934531810036,6.383244264775803,67.15325347254678,1.6589000008866701,1.3701166884645921,4.07009466214724,0.525,126348.8594467969,85712.33438191508,40636.52506488182,0.0,40636.52506488182,0.0,0.0,341.4834039065701,85370.85097664257,0.0,6.8296680781314e-07,86395.30118836222,6.8296680781314e-07,0.0,Desert,67.83783783818556,32.162162161814436,0.0,32.162162161814436,0.0,0.0,0.2702702702673484,67.56756756683714,0.0,5.405405405346966e-10,68.37837837763912,0.0,5.405405405346966e-10
Cape Verde,2022,25.43905256869773,75.61402628434887,0.0495436454599761,19.48375291218638,71.84649242301364,1.6868963108408364,1.4524547109760397,0.542,0.3972,1394.3905659518275,1394.3905659518275,0.0,0.0,0.0,0.0,0.0,199.19865227883253,0.0,1195.191913672995,0.0,1394.390565951828,0.0,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,85.71428571428571,0.0,100.00000000000004,0.0,0.0
Cape Verde,2023,23.476142779804576,76.24488093904677,0.02094177027329749,21.61212375592038,68.64120774562208,1.6720343157606223,1.3847400506806908,0.542,0.3972,1394.3905659518275,1394.3905659518275,0.0,0.0,0.0,0.0,0.0,199.19865227883255,0.0,1195.191913672995,0.0,1394.390565951828,0.0,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,14.28571428571429,0.0,85.71428571428571,0.0,100.00000000000004,0.0,0.0
Central African Republic,2022,24.62969022017409,74.69110023041475,0.18712195980542756,4.590073988735279,69.35686507807642,1.6734145808305185,1.405084320804619,5.3374281,0.3972,2561.125529299275,2561.125529299275,0.0,0.0,0.0,0.0,0.0,0.0,2561.125529299275,0.0,0.0,2561.125529299275,0.0,0.0,Desert,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Central African Republic,2023,26.71810810177566,63.22307919135396,0.1821478031736888,5.603567285449126,69.08344996340664,1.670781160269977,1.4029902978706583,5.337428100000001,0.39720000000000005,2561.125529299275,2561.125529299275,0.0,0.0,0.0,0.0,0.0,0.0,2561.125529299275,0.0,0.0,2561.125529299275,0.0,0.0,Desert,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
Chad,2022,26.66097498506571,47.82086021505376,0.09910107526881722,11.40011163381123,64.41358312938124,1.6362234170946537,1.3391291733273298,0.001000005377428,0.3972,108.6538105512163,108.6538105512163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.6538103339087,1.0865381033390869e-07,217.30762066781733,1.0865381033390869e-07,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999980000003,9.99999998e-08,199.99999959999997,0.0,9.99999998e-08
Chad,2023,29.920013934225125,34.83011906095323,0.08741965819145758,12.297437636008704,64.33912247230676,1.63532457131337,1.3390487202089634,0.001000005377428,0.3972,108.6538105512163,108.6538105512163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.65381033390868,1.0865381033390867e-07,217.30762066781733,1.0865381033390867e-07,0.0,Savana,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9999998,9.99999998e-08,199.99999959999997,0.0,9.99999998e-08
Egypt,2022,25.133853808243725,50.094452956989244,0.002707930107526882,14.170960215053762,63.54291578001708,1.6336172539840248,1.3168775781661088,1.4704840630102785,0.3972,12759523.014811806,289116.92474556196,12470406.090066247,146334.77876997675,7241770.983472203,5082300.327824067,0.0,64420.84414697446,158841.00532714106,65855.07444338202,0.0004140322135123999,289116.9239174976,0.0004140322135123999,0.0,Desert,2.265891322190826,97.73410867780919,1.1468671563984407,56.75581269821483,39.83142882319593,0.0,0.5048844229693537,1.2448820002342686,0.516124892497428,3.2448878616526137e-09,2.265891315701051,0.0,3.2448878616526137e-09
